INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 20 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [4: 800/1125]  train_loss=8.928  val_loss=8.449
INFO:Train: [4: 825/1125]  train_loss=10.49  val_loss=8.449
INFO:Train: [4: 850/1125]  train_loss=6.569  val_loss=8.449
INFO:Train: [4: 875/1125]  train_loss=6.35  val_loss=8.449
INFO:Train: [4: 900/1125]  train_loss=6.229  val_loss=8.449
INFO:Train: [4: 925/1125]  train_loss=7.329  val_loss=8.449
INFO:Train: [4: 950/1125]  train_loss=5.346  val_loss=8.449
INFO:Train: [4: 975/1125]  train_loss=4.493  val_loss=8.448
INFO:Train: [4: 1000/1125]  train_loss=7.212  val_loss=8.448
INFO:Train: [4: 1025/1125]  train_loss=6.226  val_loss=8.448
INFO:Train: [4: 1050/1125]  train_loss=3.906  val_loss=8.448
INFO:Train: [4: 1075/1125]  train_loss=9.712  val_loss=8.448
INFO:Train: [4: 1100/1125]  train_loss=7.574  val_loss=8.448
INFO:Train: [4: 1125/1125]  train_loss=7.667  val_loss=8.448
INFO:Train: [4: 1125/1125]  train_loss=9.553e+04  val_loss=8.448
INFO:Train: [5: 25/1125]  train_loss=10.42  val_loss=8.339
INFO:Train: [5: 50/1125]  train_loss=8.769  val_loss=8.338
INFO:Train: [5: 75/1125]  train_loss=4.479  val_loss=8.337
INFO:Train: [5: 100/1125]  train_loss=3.721  val_loss=8.333
INFO:Train: [5: 125/1125]  train_loss=6.289  val_loss=8.32
INFO:Train: [5: 150/1125]  train_loss=5.699  val_loss=8.319
INFO:Train: [5: 175/1125]  train_loss=7.527  val_loss=8.318
INFO:Train: [5: 200/1125]  train_loss=5.238  val_loss=8.318
INFO:Train: [5: 225/1125]  train_loss=3.371  val_loss=8.318
INFO:Train: [5: 250/1125]  train_loss=7.354  val_loss=8.318
INFO:Train: [5: 275/1125]  train_loss=7.243  val_loss=8.317
INFO:Train: [5: 300/1125]  train_loss=9.245  val_loss=8.317
